,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min
0,1,Main,Against_All_authority,Kujaa,12,7,5,58.3,0.25,2.58,8.33,3.32,13.58,0.34,7.8,198.0
1,1,Main,Against_All_authority,Linak,12,7,5,58.3,1.75,3.58,7.67,2.63,113.17,2.86,10.3,259.0
2,1,Main,Against_All_authority,MoMa,12,7,5,58.3,4.17,2.75,5.58,3.55,242.25,6.13,12.1,307.0
3,1,Main,Against_All_authority,sOAZ,12,7,5,58.3,4.0,2.92,7.08,3.8,214.67,5.43,11.6,293.0
4,1,Main,Against_All_authority,YellOwStaR,12,7,5,58.3,3.75,3.25,5.17,2.74,276.33,6.99,13.2,333.0
5,1,Main,Counter_Logic_Gaming,bigfatlp,6,3,3,50.0,2.5,2.5,5.33,3.13,191.17,5.37,9.8,275.0
6,1,Main,Counter_Logic_Gaming,Chauster,6,3,3,50.0,3.17,1.67,2.5,3.4,221.0,6.21,10.4,293.0
7,1,Main,Counter_Logic_Gaming,Elementz,6,3,3,50.0,1.0,2.33,6.33,3.14,50.67,1.42,7.1,200.0
8,1,Main,Counter_Logic_Gaming,HotshotGG,6,3,3,50.0,1.83,2.67,3.83,2.13,188.83,5.31,9.7,273.0
9,1,Main,Counter_Logic_Gaming,Saintvicious,6,3,3,50.0,2.5,2.67,5.0,2.81,112.0,3.15,9.2,258.0
10,1,Main,Epik_Gamer,Dan Dinh,7,3,4,42.9,1.71,3.86,11.0,3.3,107.29,2.62,10.4,255.0
11,1,Main,Epik_Gamer,Doublelift,7,3,4,42.9,2.29,3.43,8.43,3.13,104.71,2.56,9.0,220.0
12,1,Main,Epik_Gamer,Dyrus,7,3,4,42.9,1.71,2.71,10.29,4.42,172.29,4.21,10.9,267.0
13,1,Main,Epik_Gamer,Salce,7,3,4,42.9,5.86,3.71,6.57,3.35,232.71,5.69,12.7,311.0
14,1,Main,Epik_Gamer,Westrice,7,3,4,42.9,6.0,4.71,5.86,2.52,245.57,6.0,13.0,317.0
15,1,Main,Fnatic,Cyanide,11,8,3,72.7,2.45,2.45,10.36,5.22,109.0,2.86,10.3,269.0
16,1,Main,Fnatic,Lamia,11,8,3,72.7,5.18,1.82,6.73,6.55,242.82,6.37,13.1,343.0
17,1,Main,Fnatic,Mellisan,11,8,3,72.7,0.64,2.09,11.82,5.96,18.64,0.49,8.4,220.0
18,1,Main,Fnatic,Shushei,11,8,3,72.7,6.27,2.27,8.09,6.32,237.18,6.22,12.9,339.0
19,1,Main,Fnatic,xPeke,8,7,1,87.5,4.63,3.63,8.88,3.72,236.63,6.08,12.8,330.0
20,1,Main,Fnatic,wewillfailer,3,1,2,33.3,2.0,4.67,6.33,1.79,189.67,5.27,9.6,267.0
21,1,Main,Xan,Axion,3,1,2,33.3,4.67,2.33,2.67,3.14,199.0,5.47,10.4,286.0
22,1,Main,Xan,Radeon6870,3,1,2,33.3,1.0,3.0,3.67,1.56,87.0,2.39,8.1,223.0
23,1,Main,Xan,Vech,3,1,2,33.3,1.67,2.33,4.33,2.57,263.67,7.25,12.2,334.0
24,1,Main,Xan,d4rkness,3,1,2,33.3,3.0,3.0,2.67,1.89,277.67,7.63,11.9,326.0
25,1,Main,Xan,iNtrigueD,3,1,2,33.3,0.67,2.0,4.67,2.67,21.33,0.59,7.7,211.0
26,1,Main,Team_gamed_21-de,CandyPanda,5,1,4,20.0,4.8,4.2,1.8,1.57,239.4,6.85,11.3,322.0
27,1,Main,Team_gamed_21-de,Kev1n,5,1,4,20.0,1.4,2.6,2.0,1.31,206.8,5.91,9.2,262.0
28,1,Main,Team_gamed_21-de,Nyph,5,1,4,20.0,0.2,2.8,6.0,2.21,16.2,0.46,7.3,208.0
29,1,Main,Team_gamed_21-de,Reyk,5,1,4,20.0,0.8,3.0,3.4,1.4,155.0,4.43,7.8,222.0
30,1,Main,Team_gamed_21-de,Zylor,5,1,4,20.0,1.0,4.6,4.2,1.13,110.2,3.15,7.2,206.0
31,1,Main,Pacific_eSports,iddo,3,0,3,0.0,1.0,2.0,2.0,1.5,135.67,4.92,6.2,225.0
32,1,Main,Pacific_eSports,vy,3,0,3,0.0,2.33,2.67,3.0,2.0,105.0,3.81,6.3,230.0
33,1,Main,Pacific_eSports,dabe,3,0,3,0.0,0.67,4.0,2.67,0.83,77.67,2.82,5.5,198.0
34,1,Main,Pacific_eSports,gibo,3,0,3,0.0,0.67,2.67,3.67,1.63,4.67,0.17,4.8,175.0
35,1,Main,Pacific_eSports,wormy,3,0,3,0.0,2.33,4.0,2.0,1.08,143.33,5.2,6.9,249.0
36,1,Main,TSM,Chaox,9,5,4,55.6,5.67,2.89,4.22,3.42,270.33,6.67,13.9,343.0
37,1,Main,TSM,Reginald,9,5,4,55.6,4.0,3.89,6.11,2.6,215.11,5.31,12.1,298.0
38,1,Main,TSM,TheRainMan,9,5,4,55.6,4.0,1.78,7.44,6.44,199.11,4.91,13.3,329.0
39,1,Main,TSM,TheOddOne,9,5,4,55.6,1.67,1.78,8.22,5.56,126.33,3.12,10.2,252.0
40,1,Main,TSM,Xpecial,9,5,4,55.6,0.78,2.56,8.0,3.43,26.11,0.64,8.3,206.0
41,2,Main,Azubu_Frost,CloudTemplar,12,8,4,66.7,2.08,2.5,8.08,4.07,144.92,4.15,10.3,294.0
42,2,Main,Azubu_Frost,MadLife,12,8,4,66.7,1.0,2.5,9.67,4.27,30.42,0.87,8.7,248.0
43,2,Main,Azubu_Frost,RapidStar,12,8,4,66.7,4.0,2.5,6.5,4.2,256.58,7.34,12.0,342.0
44,2,Main,Azubu_Frost,Shy,12,8,4,66.7,3.67,2.83,4.83,3.0,243.17,6.96,11.6,331.0
45,2,Main,Azubu_Frost,Woong,12,8,4,66.7,3.5,2.75,7.08,3.85,251.08,7.18,11.9,342.0
46,2,Main,Counter_Logic_Gaming,bigfatlp,3,1,2,33.3,3.67,2.33,1.67,2.29,210.0,6.88,9.4,308.0
47,2,Main,Counter_Logic_Gaming,Chauster,3,1,2,33.3,0.67,2.0,2.0,1.33,29.0,0.95,6.1,201.0
48,2,Main,Counter_Logic_Gaming,Doublelift,3,1,2,33.3,1.0,3.33,2.67,1.1,258.33,8.46,9.8,322.0
49,2,Main,Counter_Logic_Gaming,HotshotGG,3,1,2,33.3,0.67,2.67,2.67,1.25,115.33,3.78,6.9,225.0
50,2,Main,Counter_Logic_Gaming,Voyboy,3,1,2,33.3,0.67,2.67,4.33,1.88,164.33,5.38,8.0,263.0
51,2,Main,Counter_Logic_Gaming_Europe,Froggen,9,5,4,55.6,3.78,2.44,5.44,3.77,315.89,8.37,13.1,347.0
52,2,Main,Counter_Logic_Gaming_Europe,Krepo,9,5,4,55.6,1.22,2.67,7.0,3.08,19.22,0.51,8.1,216.0
53,2,Main,Counter_Logic_Gaming_Europe,Snoopeh,9,5,4,55.6,1.11,2.67,6.33,2.79,108.0,2.86,9.5,251.0
54,2,Main,Counter_Logic_Gaming_Europe,Wickd,9,5,4,55.6,2.33,3.22,5.67,2.48,228.11,6.05,11.0,291.0
55,2,Main,Counter_Logic_Gaming_Europe,yellowpete,9,5,4,55.6,2.56,2.22,4.78,3.3,261.22,6.92,11.7,310.0
56,2,Main,Dignitas,Crumbzz,3,0,3,0.0,1.67,5.67,3.0,0.82,201.0,5.82,9.6,278.0
57,2,Main,Dignitas,IWillDominate,3,0,3,0.0,1.0,4.33,4.0,1.15,152.67,4.42,8.6,249.0
58,2,Main,Dignitas,Imaqtpie,3,0,3,0.0,2.0,4.67,4.0,1.29,235.33,6.82,9.7,281.0
59,2,Main,Dignitas,Patoy,3,0,3,0.0,0.67,3.67,5.33,1.64,20.33,0.59,6.8,196.0
60,2,Main,Dignitas,scarra,3,0,3,0.0,3.33,4.67,2.67,1.29,209.0,6.05,9.6,277.0
61,2,Main,Invictus_Gaming,illuSioN,5,2,3,40.0,2.0,3.0,8.6,3.53,137.4,4.2,8.9,273.0
62,2,Main,Invictus_Gaming,kid,5,2,3,40.0,5.8,2.4,6.2,5.0,219.2,6.7,11.0,337.0
63,2,Main,Invictus_Gaming,Pdd,5,2,3,40.0,2.8,3.0,7.6,3.47,226.0,6.91,10.4,318.0
64,2,Main,Invictus_Gaming,XiaoXiao,5,2,3,40.0,0.4,5.0,8.4,1.76,9.6,0.29,6.5,198.0
65,2,Main,Invictus_Gaming,zz1tai,5,2,3,40.0,5.2,3.0,5.6,3.6,231.8,7.08,10.9,332.0
66,2,Main,Moscow_Five,Alex Ich,5,3,2,60.0,4.4,2.4,7.4,4.92,251.6,7.56,11.3,340.0
67,2,Main,Moscow_Five,Darien,5,3,2,60.0,3.6,2.8,6.6,3.64,196.6,5.91,9.8,294.0
68,2,Main,Moscow_Five,Diamondprox,5,3,2,60.0,2.4,2.6,8.8,4.31,137.0,4.12,8.7,261.0
69,2,Main,Moscow_Five,GoSu Pepper,5,3,2,60.0,0.4,3.2,10.8,3.5,24.6,0.74,7.0,210.0
70,2,Main,Moscow_Five,Genja,5,3,2,60.0,5.0,2.2,6.2,5.09,230.6,6.93,11.0,329.0
71,2,Main,NaJin_Black_Sword,Cain,5,3,2,60.0,1.2,2.0,13.0,7.1,21.6,0.7,8.1,263.0
72,2,Main,NaJin_Black_Sword,MaKNooN,5,3,2,60.0,5.4,2.6,7.0,4.77,211.0,6.86,10.6,346.0
73,2,Main,NaJin_Black_Sword,PraY,5,3,2,60.0,5.2,3.2,6.8,3.75,236.6,7.69,11.3,366.0
74,2,Main,NaJin_Black_Sword,SSONG,5,3,2,60.0,4.6,2.6,6.6,4.31,226.8,7.37,10.6,346.0
75,2,Main,NaJin_Black_Sword,Watch,5,3,2,60.0,1.6,1.6,10.0,7.25,96.8,3.15,8.2,267.0
76,2,Main,Saigon_Jokers,Archie,3,1,2,33.3,3.67,2.67,5.0,3.25,197.0,7.33,9.1,337.0
77,2,Main,Saigon_Jokers,Junie,3,1,2,33.3,1.0,1.33,5.33,4.75,27.0,1.0,6.1,228.0
78,2,Main,Saigon_Jokers,NIXWATER,3,1,2,33.3,2.67,2.0,4.0,3.33,210.0,7.81,8.8,327.0
79,2,Main,Saigon_Jokers,QTV,3,1,2,33.3,1.67,3.33,5.33,2.1,145.67,5.42,7.5,278.0
80,2,Main,Saigon_Jokers,Violet,3,1,2,33.3,1.67,2.33,5.33,3.0,105.33,3.92,7.1,263.0
81,2,Main,SK_Gaming,Araneae,3,0,3,0.0,0.0,2.33,1.67,0.71,102.33,3.22,6.5,203.0
82,2,Main,SK_Gaming,Kev1n,3,0,3,0.0,1.0,2.0,1.33,1.17,219.33,6.9,8.7,273.0
83,2,Main,SK_Gaming,Nyph,3,0,3,0.0,1.0,2.33,3.0,1.71,20.0,0.63,6.6,207.0
84,2,Main,SK_Gaming,ocelote,3,0,3,0.0,0.67,2.33,1.67,1.0,233.33,7.34,9.2,290.0
85,2,Main,SK_Gaming,YellOwStaR,3,0,3,0.0,2.67,2.33,1.33,1.71,246.0,7.74,9.9,312.0
86,2,Main,Taipei_Assassins,bebe,9,7,2,77.8,5.56,2.11,6.33,5.63,277.44,8.14,12.9,378.0
87,2,Main,Taipei_Assassins,Lilballz,9,7,2,77.8,1.22,2.11,8.33,4.53,115.67,3.39,9.0,263.0
88,2,Main,Taipei_Assassins,MiSTakE,9,7,2,77.8,0.78,3.11,9.0,3.14,23.89,0.7,7.7,225.0
89,2,Main,Taipei_Assassins,Stanley,9,7,2,77.8,3.11,1.67,6.89,6.0,225.89,6.63,11.9,349.0
90,2,Main,Taipei_Assassins,Toyz,9,7,2,77.8,4.11,1.22,6.67,8.82,312.78,9.18,13.0,380.0
91,2,Main,Team_WE,Caomei,3,1,2,33.3,2.33,2.33,8.0,4.43,245.67,5.25,13.8,296.0
92,2,Main,Team_WE,ClearLove,3,1,2,33.3,3.0,4.0,10.0,3.25,158.67,3.39,12.0,257.0
93,2,Main,Team_WE,Fzzf,3,1,2,33.3,1.67,3.67,9.0,2.91,16.33,0.35,10.4,222.0
94,2,Main,Team_WE,Misaya,3,1,2,33.3,5.0,3.0,6.67,3.89,367.0,7.85,15.9,340.0
95,2,Main,Team_WE,Weixiao,3,1,2,33.3,4.67,1.67,7.67,7.4,405.67,8.68,17.2,368.0
96,2,Main,TSM,Chaox,2,0,2,0.0,2.5,4.0,6.5,2.25,255.0,7.07,10.7,295.0
97,2,Main,TSM,Dyrus,2,0,2,0.0,3.0,4.0,5.0,2.0,206.5,5.72,9.6,265.0
98,2,Main,TSM,Reginald,2,0,2,0.0,4.5,3.5,6.5,3.14,282.0,7.81,11.7,324.0
99,2,Main,TSM,TheOddOne,2,0,2,0.0,3.0,2.5,5.0,3.2,111.5,3.09,8.2,227.0
100,2,Main,TSM,Xpecial,2,0,2,0.0,0.0,3.5,9.5,2.71,11.5,0.32,6.3,173.0
101,3,Main,Cloud9,Balls,3,1,2,33.3,3.67,3.0,5.33,3.0,212.0,6.35,10.9,326.0
102,3,Main,Cloud9,Hai,3,1,2,33.3,1.67,5.67,5.33,1.24,215.33,6.45,10.4,311.0
103,3,Main,Cloud9,LemonNation,3,1,2,33.3,0.67,5.33,8.33,1.69,25.67,0.77,6.9,206.0
104,3,Main,Cloud9,Meteos,3,1,2,33.3,2.67,3.0,4.67,2.44,181.33,5.43,10.2,306.0
105,3,Main,Cloud9,Sneaky,3,1,2,33.3,2.67,3.0,6.0,2.89,229.0,6.86,11.1,334.0
106,3,Main,Fnatic,Cyanide,15,10,5,66.7,3.2,2.53,11.07,5.63,90.0,2.81,8.6,269.0
107,3,Main,Fnatic,Puszu,15,10,5,66.7,6.4,1.8,9.67,8.93,225.0,7.03,12.2,380.0
108,3,Main,Fnatic,sOAZ,15,10,5,66.7,3.47,1.93,9.53,6.72,200.53,6.26,10.3,322.0
109,3,Main,Fnatic,xPeke,15,10,5,66.7,6.87,2.4,8.07,6.22,252.87,7.9,12.7,396.0
110,3,Main,Fnatic,YellOwStaR,15,10,5,66.7,2.0,1.93,10.87,6.66,48.47,1.51,7.7,239.0
111,3,Main,Gamania_Bears,Maple,2,0,2,0.0,1.5,4.5,2.5,0.89,158.0,5.25,7.5,247.0
112,3,Main,Gamania_Bears,NL,2,0,2,0.0,1.5,5.5,3.0,0.82,197.0,6.54,8.4,279.0
113,3,Main,Gamania_Bears,Steak,2,0,2,0.0,0.5,5.0,1.5,0.4,188.0,6.24,7.6,252.0
114,3,Main,Gamania_Bears,SwordArt,2,0,2,0.0,1.0,4.5,2.5,0.78,21.5,0.71,5.4,179.0
115,3,Main,Gamania_Bears,Winds,2,0,2,0.0,2.0,4.5,3.0,1.11,97.5,3.24,6.5,214.0
116,3,Main,Gambit_Gaming,Alex Ich,12,7,5,58.3,5.08,2.67,4.58,3.63,296.42,8.82,13.1,389.0
117,3,Main,Gambit_Gaming,Darien,12,7,5,58.3,1.83,2.17,6.17,3.69,226.25,6.74,10.6,317.0
118,3,Main,Gambit_Gaming,Diamondprox,12,7,5,58.3,2.0,2.83,7.25,3.26,131.0,3.9,8.9,266.0
119,3,Main,Gambit_Gaming,Genja,12,7,5,58.3,3.67,2.0,5.42,4.54,239.75,7.14,11.4,339.0
120,3,Main,Gambit_Gaming,Voidle,12,7,5,58.3,0.67,3.33,7.75,2.53,28.83,0.86,7.2,213.0
121,3,Main,GamingGear_2e-eu,Alunir,8,1,7,12.5,1.25,3.88,3.63,1.26,103.0,3.47,6.7,225.0
122,3,Main,GamingGear_2e-eu,DeadlyBrother,8,1,7,12.5,2.63,3.63,2.13,1.31,206.13,6.95,9.0,304.0
123,3,Main,GamingGear_2e-eu,Inspirro,8,1,7,12.5,0.63,5.13,4.25,0.95,20.5,0.69,5.5,186.0
124,3,Main,GamingGear_2e-eu,Mazzerin,8,1,7,12.5,1.75,3.0,2.38,1.38,218.25,7.36,8.9,300.0
125,3,Main,GamingGear_2e-eu,Nbs,8,1,7,12.5,1.13,3.88,1.38,0.65,185.38,6.25,8.0,269.0
126,3,Main,Lemondogs,Dexter,8,3,5,37.5,3.5,2.63,4.88,3.19,119.25,3.47,8.8,258.0
127,3,Main,Lemondogs,Mithy,8,3,5,37.5,0.63,2.88,5.75,2.22,22.25,0.65,6.6,191.0
128,3,Main,Lemondogs,Nukeduck,8,3,5,37.5,3.88,2.88,3.88,2.7,259.5,7.55,11.8,342.0
129,3,Main,Lemondogs,Tabzz,8,3,5,37.5,2.63,1.88,4.75,3.93,271.38,7.9,11.7,341.0
130,3,Main,Lemondogs,Zorozero,8,3,5,37.5,2.25,2.25,6.0,3.67,219.63,6.39,10.5,306.0
131,3,Main,Mineski,Exo,8,0,8,0.0,2.75,4.63,3.63,1.38,182.25,6.64,8.2,299.0
132,3,Main,Mineski,Kaigu,8,0,8,0.0,1.63,4.5,4.88,1.44,108.88,3.97,6.7,243.0
133,3,Main,Mineski,Snoy,8,0,8,0.0,2.0,4.5,3.0,1.11,153.5,5.6,7.3,267.0
134,3,Main,Mineski,Tgee,8,0,8,0.0,0.63,5.75,5.63,1.09,16.63,0.61,4.8,177.0
135,3,Main,Mineski,Yume,8,0,8,0.0,1.88,4.88,3.25,1.05,187.5,6.83,7.9,287.0
136,3,Main,NaJin_Black_Sword,Cain,8,4,4,50.0,1.13,3.75,7.38,2.27,18.63,0.54,7.0,205.0
137,3,Main,NaJin_Black_Sword,Expession,8,4,4,50.0,3.25,2.13,4.5,3.65,244.13,7.12,11.6,340.0
138,3,Main,NaJin_Black_Sword,Nagne,8,4,4,50.0,3.88,1.63,4.13,4.92,265.38,7.74,12.1,353.0
139,3,Main,NaJin_Black_Sword,PraY,8,4,4,50.0,3.75,3.0,5.38,3.04,259.38,7.57,12.3,358.0
140,3,Main,NaJin_Black_Sword,Watch,8,4,4,50.0,1.75,2.25,7.5,4.11,94.63,2.76,8.7,253.0
141,3,Main,Oh_My_God,Cool,10,7,3,70.0,6.6,1.8,6.0,7.0,278.4,8.58,13.3,409.0
142,3,Main,Oh_My_God,Gogoing,10,7,3,70.0,3.0,2.3,8.8,5.13,221.2,6.82,11.4,351.0
143,3,Main,Oh_My_God,LoveLin,10,7,3,70.0,2.6,2.0,9.3,5.95,96.3,2.97,8.8,270.0
144,3,Main,Oh_My_God,San,10,7,3,70.0,5.5,1.6,6.2,7.31,255.6,7.88,12.7,392.0
145,3,Main,Oh_My_God,Bigpomelo,9,6,3,66.7,1.11,2.89,8.78,3.42,29.33,0.92,7.5,233.0
146,3,Main,Oh_My_God,comA,1,1,0,100.0,3.0,5.0,17.0,4.0,33.0,0.92,9.4,262.0
147,3,Main,Royal_Club,GoDlike,9,5,4,55.6,1.78,3.78,7.44,2.44,161.11,5.02,9.0,281.0
148,3,Main,Royal_Club,Lucky,9,5,4,55.6,1.56,3.44,8.67,2.97,77.0,2.4,7.6,236.0
149,3,Main,Royal_Club,Tabe,9,5,4,55.6,1.11,5.33,8.56,1.81,18.89,0.59,6.3,195.0
150,3,Main,Royal_Club,Uzi,9,5,4,55.6,5.44,3.44,4.89,3.0,261.89,8.17,12.4,386.0
151,3,Main,Royal_Club,Wh1t3zZ,9,5,4,55.6,4.56,3.44,6.89,3.32,249.44,7.78,11.8,368.0
152,3,Main,Samsung_White,Dade,9,5,4,55.6,2.89,3.22,7.44,3.21,256.22,8.06,11.6,366.0
153,3,Main,Samsung_White,DanDy,9,5,4,55.6,4.33,3.0,8.33,4.22,84.22,2.65,8.6,272.0
154,3,Main,Samsung_White,imp,9,5,4,55.6,5.67,2.56,6.0,4.57,236.56,7.44,12.1,380.0
155,3,Main,Samsung_White,Looper,9,5,4,55.6,2.22,2.33,6.78,3.86,202.11,6.36,10.1,318.0
156,3,Main,Samsung_White,Mata,9,5,4,55.6,1.0,4.22,11.0,2.84,25.44,0.8,7.1,224.0
157,3,Main,SK_Telecom_T1,bengi,18,15,3,83.3,2.5,1.89,9.28,6.24,97.83,3.1,9.0,284.0
158,3,Main,SK_Telecom_T1,Faker,18,15,3,83.3,4.44,2.17,6.0,4.82,276.83,8.77,12.6,400.0
159,3,Main,SK_Telecom_T1,Impact,18,15,3,83.3,2.94,2.17,6.94,4.56,222.22,7.04,11.3,357.0
160,3,Main,SK_Telecom_T1,Piglet,18,15,3,83.3,6.39,1.22,5.5,9.73,253.0,8.02,12.9,408.0
161,3,Main,SK_Telecom_T1,PoohManDu,18,15,3,83.3,1.11,2.67,9.5,3.98,31.0,0.98,7.3,232.0
162,3,Main,Team_Vulcun,Sycho Sid,8,3,5,37.5,1.25,2.5,4.38,2.25,193.0,6.34,9.3,305.0
163,3,Main,Team_Vulcun,BloodWater,8,3,5,37.5,1.63,1.75,6.5,4.64,31.0,1.02,6.9,228.0
164,3,Main,Team_Vulcun,mancloud,8,3,5,37.5,3.38,3.88,4.25,1.97,252.5,8.29,11.5,379.0
165,3,Main,Team_Vulcun,Xmithie,8,3,5,37.5,1.75,3.13,5.38,2.28,98.38,3.23,7.8,255.0
166,3,Main,Team_Vulcun,Zuna,8,3,5,37.5,3.25,2.88,4.25,2.61,207.25,6.81,10.3,338.0
167,3,Main,TSM,Dyrus,8,2,6,25.0,2.5,5.38,5.5,1.49,211.5,5.9,10.6,296.0
168,3,Main,TSM,Reginald,8,2,6,25.0,3.38,5.0,5.13,1.7,218.38,6.09,10.8,302.0
169,3,Main,TSM,TheOddOne,8,2,6,25.0,2.63,3.63,7.63,2.83,132.0,3.68,9.3,260.0
170,3,Main,TSM,WildTurtle,8,2,6,25.0,5.38,4.0,5.75,2.78,295.88,8.26,13.4,375.0
171,3,Main,TSM,Xpecial,8,2,6,25.0,1.0,4.5,8.63,2.14,56.25,1.57,7.9,221.0
